"[run number]","file-name","initial-meetings-pct","alpha","iterations-multiplier","lambda","threshold","[step]","res-ari","res-p","res-r","res-s","length (remove-duplicates [label-id] of turtles)"
"37","glass.csv","0.5","0.1","75","0.999","0.02","16050","0.19279994246499052","0.32134850952379607","0.3560720067631901","0.19303681312293341","5"
"38","glass.csv","0.5","0.1","75","0.999","0.02","16050","0.18209471762823504","0.3078420834875719","0.30399630270984784","0.00270867215548765","7"
"40","glass.csv","0.5","0.1","75","0.999","0.02","16050","0.20700099609041905","0.3384308170995404","0.34404412756152636","-0.05413185686438946","7"
"42","glass.csv","0.5","0.1","75","0.999","0.03","16050","0.21087922408412668","0.33319371738761494","0.35700725954036755","0.16107847491959976","6"
"41","glass.csv","0.5","0.1","75","0.999","0.03","16050","0.1495718186555885","0.25685684449823193","0.30546196268689796","0.018916809338891203","5"
"44","glass.csv","0.5","0.1","75","0.999","0.03","16050","0.1782075293015263","0.3078764986289386","0.34995866892449173","0.10748431648233045","5"
"45","glass.csv","0.5","0.1","75","0.999","0.03","16050","0.20027804755124257","0.30499673904957514","0.3700848460495887","0.11571966273744477","5"
"46","glass.csv","0.5","0.1","75","0.999","0.03","16050","0.2041030887065037","0.31888102874203306","0.3476971221333061","0.10159875133257948","6"
"48","glass.csv","0.5","0.1","75","0.999","0.03","16050","0.17105495306784618","0.2708133388015892","0.3145730077337348","0.06135474610670139","5"
"50","glass.csv","0.5","0.1","75","0.999","0.03","16050","0.19875455435552944","0.32521057450316626","0.3463494153811018","0.13206515239051997","5"
"49","glass.csv","0.5","0.1","75","0.999","0.03","16050","0.1990618912696826","0.3158081877935509","0.3594871217653617","0.13343946038028892","5"
"51","glass.csv","0.5","0.1","75","0.999","0.03","16050","0.18867600222822686","0.32538039753305326","0.35572039148230095","0.21275794463804976","5"
"52","glass.csv","0.5","0.1","75","0.999","0.03","16050","0.21314355414410516","0.3346102526312473","0.3849835365922113","0.12316388276895036","5"
"47","glass.csv","0.5","0.1","75","0.999","0.03","16050","0.18174987080891977","0.306660817889343","0.3440847543401438","0.10888790877989397","5"
"59","glass.csv","0.5","0.1","75","0.999","0.03","16050","0.18912980406555388","0.33450945106872837","0.3354420982470966","0.025955300470073404","6"
"53","glass.csv","0.5","0.1","75","0.999","0.03","16050","0.1740517403567786","0.3249076341316315","0.35765416952806095","0.08588264799032023","5"
"55","glass.csv","0.5","0.1","75","0.999","0.03","16050","0.17851413547083675","0.27496795407217517","0.30613177477826764","0.05407883745626909","5"
"54","glass.csv","0.5","0.1","75","0.999","0.03","16050","0.20617421012883863","0.3395345306588574","0.35847021700258247","0.060331949267047796","6"
"57","glass.csv","0.5","0.1","75","0.999","0.03","16050","0.18068459377245558","0.32380444775824974","0.3275225331927484","0.10278077063910294","6"
"56","glass.csv","0.5","0.1","75","0.999","0.03","16050","0.12070080328246267","0.19130377759576397","0.23943059000524805","-0.030024062295925726","5"
"58","glass.csv","0.5","0.1","75","0.999","0.03","16050","0.20062920525683742","0.29859880121270704","0.37549715330163164","0.22506834590078434","4"
"60","glass.csv","0.5","0.1","75","0.999","0.03","16050","0.19182756340027873","0.250894977332352","0.3676868037915748","0.31690731034756914","4"
"61","glass.csv","0.5","0.1","75","0.999","0.04","16050","0.2349760761544527","0.306804542780982","0.425234403033507","0.38034521357362866","4"
"62","glass.csv","0.5","0.1","75","0.999","0.04","16050","0.1860854535079999","0.2218109891397566","0.29806539698781764","0.017384840401669648","4"
"65","glass.csv","0.5","0.1","75","0.999","0.04","16050","0.2397802201589232","0.30444838323367207","0.40500936746035276","0.3675361874391433","4"
"64","glass.csv","0.5","0.1","75","0.999","0.04","16050","0.14561055465787173","0.2745457152259921","0.3220392753417605","0.1343110100655061","5"
"63","glass.csv","0.5","0.1","75","0.999","0.04","16050","0.19598097352645308","0.3495128282106749","0.3891953031964283","0.12578476204526465","5"
"67","glass.csv","0.5","0.1","75","0.999","0.04","16050","0.17708675086310946","0.21712181304262382","0.28291064894793905","0.062370812886958095","4"
"66","glass.csv","0.5","0.1","75","0.999","0.04","16050","0.14111383664655894","0.1821289060476679","0.28905679859073763","0.16961546755718868","3"
"68","glass.csv","0.5","0.1","75","0.999","0.04","16050","0.2138695929668305","0.29469897609979434","0.41944485442810925","0.3420694873801562","4"
"69","glass.csv","0.5","0.1","75","0.999","0.04","16050","0.21283839208746536","0.33520812747154755","0.38632186327159174","0.22914136981929917","5"
"70","glass.csv","0.5","0.1","75","0.999","0.04","16050","0.1696351564879002","0.24881592802694352","0.31247815959760744","0.1300409644155887","4"
"71","glass.csv","0.5","0.1","75","0.999","0.04","16050","0.17274721848291305","0.2572682674488426","0.36577280292728015","0.06917624933488362","4"
"72","glass.csv","0.5","0.1","75","0.999","0.04","16050","0.19352652020444747","0.33551241595876","0.3411805540072369","0.07586698790770918","6"
"73","glass.csv","0.5","0.1","75","0.999","0.04","16050","0.2025769114105633","0.3270818353638964","0.36962232729288086","0.10356376874209938","5"
"76","glass.csv","0.5","0.1","75","0.999","0.04","16050","0.172731483806699","0.24878319845651636","0.33251284275488874","0.09502202694024704","4"
"74","glass.csv","0.5","0.1","75","0.999","0.04","16050","0.1992011381498158","0.30685226124681403","0.3406090776466113","0.09586650471383613","5"
"75","glass.csv","0.5","0.1","75","0.999","0.04","16050","0.13297887234234562","0.18648531471801666","0.30347214593764776","0.2088831091800314","3"
"77","glass.csv","0.5","0.1","75","0.999","0.04","16050","0.1893885620853035","0.3237047785878802","0.3586811658556462","0.0994333161513173","5"
"78","glass.csv","0.5","0.1","75","0.999","0.04","16050","0.17684367453983474","0.26262917669778624","0.3551374212404732","0.24867940616713136","4"
"79","glass.csv","0.5","0.1","75","0.999","0.04","16050","0.235439736126357","0.3610792220789603","0.3982904589957967","0.228335259303351","6"
"82","glass.csv","0.5","0.1","75","0.999","0.05","16050","0.16423025872886352","0.25087155591984517","0.3243975167386974","0.07921099005362868","4"
"81","glass.csv","0.5","0.1","75","0.999","0.05","16050","0.20925099875312866","0.33895308531209645","0.38624609582881536","0.12272325235581555","5"
