"[run number]","file-name","initial-meetings-pct","alpha","iterations-multiplier","lambda","threshold","[step]","res-ari","res-p","res-r","res-s","length (remove-duplicates [label-id] of turtles)"
"100","iris.csv","1","0","10","0.999","0.01","1500","0.1658971522894321","0.6757066627117596","0.2669515963752574","-0.27168442822959943","22"
"103","iris.csv","0.5","0.05","10","0.999","0.01","1500","0.39767311926907023","0.7053026048064733","0.3735793147595049","-0.21756717599230468","13"
"105","iris.csv","0.1","0.1","10","0.999","0.01","1500","0.270835000133344","0.7788634518095594","0.3388075042314543","-0.11177750728752386","17"
"106","iris.csv","0.25","0.1","10","0.999","0.01","1500","0.20132081618147896","0.6695537908911368","0.30472892237981675","-0.27717537227071576","16"
"104","iris.csv","1","0.05","10","0.999","0.01","1500","0.5155348444404229","0.7601812448204137","0.4660264025084049","-0.19161244397369348","10"
"109","iris.csv","0.1","0.2","10","0.999","0.01","1500","0.3449229174266132","0.6866255459629288","0.35479302845275673","-0.22161462227939238","11"
"107","iris.csv","0.5","0.1","10","0.999","0.01","1500","0.2053413805092269","0.7140454285096475","0.30021201198522673","-0.2382986996013708","17"
"95","iris.csv","0.5","1","150","0.995","0.01","22500","0.434755040464448","0.6814677496112702","0.3851955154083161","0.09003765601446923","10"
"110","iris.csv","0.25","0.2","10","0.999","0.01","1500","0.17169995976015062","0.7117177142399053","0.30329288616204253","-0.22815473918237983","18"
"111","iris.csv","0.5","0.2","10","0.999","0.01","1500","0.222646670900298","0.6834224230868979","0.3206928448790414","-0.18646633737133922","15"
"113","iris.csv","0.1","0.5","10","0.999","0.01","1500","0.3051691432184635","0.7602335565462102","0.3428699466077677","-0.1610081600711437","15"
"96","iris.csv","1","1","150","0.995","0.01","22500","0.4558841910131479","0.6204257812813279","0.3971685747004211","0.07651554231220867","8"
"108","iris.csv","1","0.1","10","0.999","0.01","1500","0.3162052542386494","0.7774380390370023","0.3999404554488028","-0.1441082445589212","11"
"114","iris.csv","0.25","0.5","10","0.999","0.01","1500","0.13354341555813853","0.7215384979939513","0.2773312766310697","-0.18789699278250785","20"
"117","iris.csv","0.1","1","10","0.999","0.01","1500","0.12299405852629242","0.7972587657012026","0.28214860126050567","-0.3164335680298145","28"
"115","iris.csv","0.5","0.5","10","0.999","0.01","1500","0.2035609903813111","0.7663683891102417","0.30676768601378257","-0.22245347232569745","20"
"112","iris.csv","1","0.2","10","0.999","0.01","1500","0.14312123927794138","0.7368690615870993","0.28678250371656067","-0.2144332596562799","22"
"118","iris.csv","0.25","1","10","0.999","0.01","1500","0.1779496569540115","0.7873724405486604","0.30040678252895187","-0.2966339320208757","24"
"116","iris.csv","1","0.5","10","0.999","0.01","1500","0.15419202215443728","0.7493615823129317","0.29595279378492134","-0.2639912225291389","21"
"119","iris.csv","0.5","1","10","0.999","0.01","1500","0.14538776035015108","0.774798309324155","0.2780754946223418","-0.2329823807541374","25"
"120","iris.csv","1","1","10","0.999","0.01","1500","0.11790607247303887","0.774712981895788","0.2825770123162762","-0.26476126282319257","25"
"121","iris.csv","0.1","0","25","0.999","0.01","3750","0.21305138923039096","0.642289989977026","0.312951053615953","-0.15528845493607277","11"
"122","iris.csv","0.25","0","25","0.999","0.01","3750","0.23767881267893462","0.6539074740746501","0.322308523530587","-0.18914754981282308","12"
"125","iris.csv","0.1","0.05","25","0.999","0.01","3750","0.6626481595688061","0.7558590395607125","0.6127444068586941","0.18202943243343306","6"
"123","iris.csv","0.5","0","25","0.999","0.01","3750","0.30040736044574473","0.7260947353971184","0.325275609006319","-0.18523741690336332","16"
"124","iris.csv","1","0","25","0.999","0.01","3750","0.27571344356716954","0.646082405430549","0.32164701028871423","-0.21910482009589666","13"
"126","iris.csv","0.25","0.05","25","0.999","0.01","3750","0.5378083544896067","0.7196754818390075","0.5132523076780181","0.2225354990058064","7"
"127","iris.csv","0.5","0.05","25","0.999","0.01","3750","0.5550511460175457","0.7250091594879527","0.5707447668224839","0.2505944893387973","7"
