"[run number]","file-name","initial-meetings-pct","alpha","iterations-multiplier","lambda","threshold","[step]","res-ari","res-p","res-r","res-s","length (remove-duplicates [label-id] of turtles)"
"1","breast-cancer.csv","0.5","0.2","75","0.999","0.01","42675","0.5811774005796017","0.6636333067680162","0.3948440795177669","-0.072711932611456","5"
"4","breast-cancer.csv","0.5","0.2","75","0.999","0.01","42675","0.5679826606771499","0.5881535683174901","0.2960566752169487","0.10805600682714085","8"
"2","breast-cancer.csv","0.5","0.2","75","0.999","0.01","42675","0.477598934888251","0.5947593645082346","0.26603881010101604","-0.1537314655916193","10"
"7","breast-cancer.csv","0.5","0.2","75","0.999","0.01","42675","0.40944167859381414","0.5863612590069931","0.22460773333733416","-0.1840364769326739","12"
"5","breast-cancer.csv","0.5","0.2","75","0.999","0.01","42675","0.5922241089894267","0.6908118914201683","0.33627523523147745","-0.011110180480891753","9"
"8","breast-cancer.csv","0.5","0.2","75","0.999","0.01","42675","0.5928463777449458","0.6955014006005692","0.3456026394451322","-0.15693386667046605","9"
"3","breast-cancer.csv","0.5","0.2","75","0.999","0.01","42675","0.48826594232741355","0.6363936281910949","0.28330493130738166","-0.1994024493276431","10"
"6","breast-cancer.csv","0.5","0.2","75","0.999","0.01","42675","0.5790569502965972","0.6508661355733624","0.35654283781383533","-0.10123884500932606","7"
"9","breast-cancer.csv","0.5","0.2","75","0.999","0.01","42675","0.5027035035592957","0.6309877145388767","0.26803896625809187","-0.0771951436258067","12"
"11","breast-cancer.csv","0.5","0.2","75","0.999","0.01","42675","0.5665322529816361","0.5622655773201533","0.3280870579821773","0.11204196385441467","6"
"10","breast-cancer.csv","0.5","0.2","75","0.999","0.01","42675","0.5290317001967574","0.5586681382706224","0.30034854821229284","-0.02576044581854608","7"
"14","breast-cancer.csv","0.5","0.2","75","0.999","0.01","42675","0.5923386028739062","0.691198310995522","0.34618005084923764","-0.09211049246720777","8"
"12","breast-cancer.csv","0.5","0.2","75","0.999","0.01","42675","0.4821479031036407","0.6247093231804643","0.25987439813605584","-0.3040793785278776","13"
"13","breast-cancer.csv","0.5","0.2","75","0.999","0.01","42675","0.5675262110375187","0.6382108365373045","0.3240950133445525","-0.059016793767082604","8"
"15","breast-cancer.csv","0.5","0.2","75","0.999","0.01","42675","0.5590240355344769","0.7138250420915655","0.3336565649040982","-0.046078688282440015","9"
"16","breast-cancer.csv","0.5","0.2","75","0.999","0.01","42675","0.562339868883261","0.6001490475395231","0.3119423327115534","-0.17219515989082845","9"
"17","breast-cancer.csv","0.5","0.2","75","0.999","0.01","42675","0.37893375739876045","0.6659959371990024","0.28103726878201024","-0.09151197605262647","8"
"18","breast-cancer.csv","0.5","0.2","75","0.999","0.01","42675","0.5701479787629138","0.6549835346229242","0.34054587897944333","-0.19929919685129383","9"
"19","breast-cancer.csv","0.5","0.2","75","0.999","0.01","42675","0.5863755265418958","0.7096293504090881","0.351487862252475","-0.11978644852328851","8"
"20","breast-cancer.csv","0.5","0.2","75","0.999","0.01","42675","0.5004581567900774","0.5924700491483379","0.29813390473165735","-0.18037809080036146","7"
"23","breast-cancer.csv","0.5","0.2","75","0.999","0.02","42675","0.5560820749360476","0.573632153127912","0.3049257711667761","0.2160913057155759","6"
"22","breast-cancer.csv","0.5","0.2","75","0.999","0.02","42675","0.5773360491128066","0.5829326081204939","0.3266274706587384","0.105785935467951","5"
"21","breast-cancer.csv","0.5","0.2","75","0.999","0.02","42675","0.6218857525971295","0.6512743968296366","0.4470474969540634","-0.02670924476550565","4"
"24","breast-cancer.csv","0.5","0.2","75","0.999","0.02","42675","0.539920723688659","0.5971573180023084","0.3321536332091978","0.16256335003499203","5"
"25","breast-cancer.csv","0.5","0.2","75","0.999","0.02","42675","0.5349632183101082","0.5459296203005184","0.32229378449603147","-0.01338593409303716","5"
"26","breast-cancer.csv","0.5","0.2","75","0.999","0.02","42675","0.6064167648131061","0.6183526351322016","0.39465305914785903","0.28421346119704577","4"
"27","breast-cancer.csv","0.5","0.2","75","0.999","0.02","42675","0.6635428497259905","0.7129748189966885","0.44216469285216736","0.2004957889878867","5"
"30","breast-cancer.csv","0.5","0.2","75","0.999","0.02","42675","0.5799932723681533","0.6134781089050504","0.36271276359606364","0.16520990481147324","5"
"29","breast-cancer.csv","0.5","0.2","75","0.999","0.02","42675","0.6551432425703432","0.6372438121568832","0.4210194224698221","0.1873134526905948","4"
"28","breast-cancer.csv","0.5","0.2","75","0.999","0.02","42675","0.6803696809826522","0.6116668326295399","0.49475782598285223","0.2864079184021981","3"
"31","breast-cancer.csv","0.5","0.2","75","0.999","0.02","42675","0.6545173538084204","0.5585055839809039","0.4785459950255966","0.43735634723000105","3"
"32","breast-cancer.csv","0.5","0.2","75","0.999","0.02","42675","0.6528936708734459","0.6131539703103973","0.4751452048084173","0.24706286241837822","3"
"33","breast-cancer.csv","0.5","0.2","75","0.999","0.02","42675","0.7279142941513066","0.6497108971923578","0.5480162071374913","0.41683169027839145","3"
"34","breast-cancer.csv","0.5","0.2","75","0.999","0.02","42675","0.6236034139861842","0.6703167091940905","0.401581554098895","0.08114997927995043","5"
"35","breast-cancer.csv","0.5","0.2","75","0.999","0.02","42675","0.610767888780881","0.6273256001969099","0.3743747557835674","0.14241130769003502","5"
"36","breast-cancer.csv","0.5","0.2","75","0.999","0.02","42675","0.5007444744582886","0.5349059787489708","0.2643107198005588","0.2436843066313121","6"
"37","breast-cancer.csv","0.5","0.2","75","0.999","0.02","42675","0.5905028944348362","0.577648895665354","0.36728342748710235","0.15737656907964653","4"
"38","breast-cancer.csv","0.5","0.2","75","0.999","0.02","42675","0.6330529620541192","0.5573836805237609","0.44301822428838644","0.393207735161224","3"
"39","breast-cancer.csv","0.5","0.2","75","0.999","0.02","42675","0.59162510347906","0.6214956348673658","0.46212940565901967","0.052832694045703434","3"
"40","breast-cancer.csv","0.5","0.2","75","0.999","0.02","42675","0.5716224311113832","0.6379303092729147","0.33099912570366846","0.11356159499915941","6"
"41","breast-cancer.csv","0.5","0.2","75","0.999","0.03","42675","0.7053525025592614","0.6631959054549817","0.5240137788182916","0.4354681622277519","3"
"42","breast-cancer.csv","0.5","0.2","75","0.999","0.03","42675","0.6448194713277237","0.6703365072769556","0.43116194316532125","0.15399448623739317","4"
"45","breast-cancer.csv","0.5","0.2","75","0.999","0.03","42675","0.6113014915573395","0.6353251438765076","0.38909892895930953","0.3068796903442851","4"
"43","breast-cancer.csv","0.5","0.2","75","0.999","0.03","42675","0.7124484596076693","0.5877933938474145","0.6006463707764736","0.5168381500004208","2"
"44","breast-cancer.csv","0.5","0.2","75","0.999","0.03","42675","0.739810419637801","0.6814860955399182","0.5536575589851196","0.2637110315943891","3"
"46","breast-cancer.csv","0.5","0.2","75","0.999","0.03","42675","0.5879910473941741","0.6144362116554747","0.37407344361456857","0.2642920616935784","4"
"47","breast-cancer.csv","0.5","0.2","75","0.999","0.03","42675","0.7303340328901365","0.6092437968362118","0.6280952812469566","0.5333591070575691","2"
"48","breast-cancer.csv","0.5","0.2","75","0.999","0.03","42675","0.6694119796267448","0.6100858870379148","0.48847932017318907","0.4032255198237196","3"
"49","breast-cancer.csv","0.5","0.2","75","0.999","0.03","42675","0.6494877876445356","0.6285068623047977","0.47047179762155356","0.1781881291770248","3"
"50","breast-cancer.csv","0.5","0.2","75","0.999","0.03","42675","0.6847768478177267","0.6625259544144028","0.5038229590607973","0.44553954803938667","3"
"51","breast-cancer.csv","0.5","0.2","75","0.999","0.03","42675","0.5879111278580965","0.6056730183309673","0.3609353685445413","0.225682144090514","4"
"53","breast-cancer.csv","0.5","0.2","75","0.999","0.03","42675","0.6469874083019566","0.6001324686798579","0.46173279184678934","0.10127539506304185","3"
"52","breast-cancer.csv","0.5","0.2","75","0.999","0.03","42675","0.7733101006270164","0.6632482497782352","0.6876123149135832","0.5274622937358604","2"
"54","breast-cancer.csv","0.5","0.2","75","0.999","0.03","42675","0.7857826638368578","0.6822119055336452","0.710009236758325","0.5450538152029012","2"
"55","breast-cancer.csv","0.5","0.2","75","0.999","0.03","42675","0.7363747325730015","0.6167655222075136","0.6370223001368297","0.5119059398358404","2"
"56","breast-cancer.csv","0.5","0.2","75","0.999","0.03","42675","0.798361233599978","0.7039064567766368","0.7354983498246134","0.5543326348926791","2"
"57","breast-cancer.csv","0.5","0.2","75","0.999","0.03","42675","0.667576868520272","0.658837602243579","0.47961374436172816","0.3418494717000052","3"
"58","breast-cancer.csv","0.5","0.2","75","0.999","0.03","42675","0.6336524151003851","0.5851014608853611","0.4501932363836165","0.29140002095658224","3"
"59","breast-cancer.csv","0.5","0.2","75","0.999","0.03","42675","0.5261952106930848","0.5553001345097045","0.28279245029032074","0.254647002753463","6"
"60","breast-cancer.csv","0.5","0.2","75","0.999","0.03","42675","0.6932957291307462","0.6310259701926547","0.4870224433256388","0.43101175668312663","3"
"61","breast-cancer.csv","0.5","0.2","75","0.999","0.04","42675","0.6412696712194539","0.6096714791189485","0.4506007610329983","0.30257317073576584","3"
